title,lyrics
Дурак и Молния,"Грохочет гром,
Сверкает молния в ночи,
А на холме стоит безумец и кричит:
""Сейчас поймаю тебя в сумку,
И сверкать ты будешь в ней
Мне так хочется, чтоб стала ты моей!"".

Припев:

То парень к лесу мчится,
То к полю, то к ручью.
Все поймать стремится
Молнию!

Весь сельский люд,
Смотреть на это выходил,
Как на холме безумец бегал и чудил.
""Он, видно, в ссоре с головою,
Видно, сам себе он враг,
Надо ж выдумать такое - во дурак!""

(Припев)

Утром по сельской дороге,
Медленно шел ночной герой,
Весь лохматый и седой,
И улыбался...

(Припев)  "
Леший Обиделся,"В ночном лесу костер горел,
А у костра усталый дедушка сидел.
Трогал усы, трубку курил,
О чем-то тихо сам с собою говорил.

И в тот же миг раздался крик,
Схватив дубину, поспешил на зов старик.
От боли корчась, парень в кустах лежал,
И озирался и от страха весь дрожал.

Припев:

""Дедушка, милый, спаси меня!
В капкан угодила нога моя!""
Но почему в ответ, брови нахмурил дед?
Брови сурово нахмурил дед!

Старик курил и говорил:
""Ты мне серьезную обиду причинил.
Как смел ты этой ночью в мой лес ходить?
О страшном лешем так бесстыдно позабыть?!""

(Припев)

""Погибель тебя ждет,
Коль ты со мною повстречался!
Ведь больше не живет, тот зверь,
Что в мой капкан попался!""

Парень вскочил и помчался прочь,
Дико кричал, проклиная ночь.
Падал одежду рвал, снова вставал бежал.
Вместе с капканом, аж до самого дома!  "
Два Вора и Монета,"Два вора, лихо скрывшись от погони,
Делить украденное золото решили.
На старом кладбище вечернею порою
Уселись рядом на заброшенной могиле.

И вроде поровну досталось им богатство,
Но вот беда - последняя монета.
Один кричит: ""Она моя - я лучше дрался!""
""Да что б ты делал, друг, без моего совета?!""

- Отдай монету, а не то я рассержусь!
- Мне наплевать! Я твоей злости не боюсь!
- Но ведь я похитил деньги и все дело провернул!
- Без моих идей, невежа, ты б и шагу не шагнул!

- Что же делать нам с монетой, как же нам ее делить?
- Отдадим покойнику!
- Отлично! Так тому и быть!

- Я был проворней, значит денежка моя!
- Не допущу, чтоб ты богаче был чем я!
- Сейчас вцеплюсь тебе я в горло и на части разорву!
- Я прибью тебя дубиной и все деньги заберу!

- Что же делать нам с монетой, как же нам ее делить?
- Отдадим покойнику!
- Отлично! Так тому и быть!

И мертвец, гремя костями, вдруг поднялся из земли:
""Довели меня, проклятые, ей богу, довели!
Воры вмиг переглянулись, и помчались наутек.
А мертвец все золото с собой в могилу уволок!  "
Любовь и Пропеллер,"Он печален был, он ее любил,
Но на все ему отказ, что б он не попросил.
С горя он тогда пропеллер смастерил,
Как получилось - сам не понял!

Как-то вышел он на луг и увидел вдруг:
На краю утеса она молча смотрит вдаль.
Охватила тут юношу печаль,
И, разбежавшись, вниз он прыгнул...

Припев:

И с утеса вниз парень полетел,
И завыл залетный ветер,
Гибели его свидетель.

Плакала она и его звала,
Укоряла и бранила девушка себя:
""Ах, какая я бестолковая!
Ну почему в нем сомневалась?!""

(Припев)

И в тот самый миг юноша возник,
И с улыбкой над утесом в воздухе повис.
И воскликнул он: ""Милая, сюрприз!"".
Но вдруг заглох его пропеллер...

(Припев)  "
Камнем по Голове,"В провинциальном городке
Был праздник, музыка звучала,
Но вот в ликующей толпе
Возник зловещий лик бродяги...
Он шел, как будто бы один,
Толпа его не замечала.
И как-то странно на него
Смотрели местные собаки...

Припев:

В черном цилиндре, в наряде старинном,
В город на праздник путник очень спешил.
По горам пробирался и улыбался,
Но камень сорвался в пропасть с горных вершин...

Был грязный плащ на нем одет,
Цилиндр черный смят в гармошку,
Себе под ноги он глядел,
А в кулаке сжимал он маску.
Но кто-то крикнул вдруг: ""Привет!
Повеселился б ты немножко.
В такой веселый светлый день
Как можно быть таким несчастным?""

(Припев)

И проходимец поднял взгляд,
И злобным голосом ответил:
""Я всех замучить был бы рад
И от того я так невесел.
Я в маске рыжей обезьяны
На праздник к вам попасть мечтал,
Когда б не камень окаянный,
Что мне на голову упал!""

(Припев)  "
С Тех Пор Как Он Ушёл,"Он в лес уходил, и ей говорил,
Он ей с улыбкой нежно говорил:
""У окошка сиди и орешки грызи,
Меня ты к вечеру сегодня жди"".

Припев:

С тех пор, как он ушел,
Лет десять прошло.
Всюду парень был,
Весело он жил,
Но по дому загрустил...

""Детка, как дела? Как ты тут жила?
Чего сидишь в молчанье у окна?
Не злись на меня, задержался я
И понял нет мне счастья без тебя"".

Припев:

Подругу за руку взял
И страстно обнял.
С девушкой тогда
Произошла беда -
В пыль рассыпалась она!

Что с ней, что с ней?
Не верил парень глазам.
В кучку пыль сложил,
В банку положил,
И до смерти с нею жил.  "
"История, Окутанная Тайной","Очнулся в темном подземелье он.
За дверью вдруг послышались шаги.
""Я знаю точно - это всего лишь страшный сон!
О, ангел мой, ты мне проснуться помоги!""

Припев:

В доме суета, горько плачет сестра:
Как же, люди, быть? Брата не разбудить!

В дверном проеме человек стоял,
Зловещим голосом он произнес:
""Ты потерял себя, ты слишком долго, парень, спал,
Забыв о том, что в мире много слез...""

(Припев)

""Отныне, парень, ты душе своей - изменник!"" -
Сказал тюремщик и ушел во тьму.
И закричал, что было мочи бедный пленник,
Но даже эхо не ответило ему...

(Припев)  "
Лесные Разбойники,"Никому никогда не стремился зла я причинять,
Причинять.
Но тот не прав, ох, не прав, кто свободу у меня хотел отнять,
Отнять!
Все к чертям! Всех к чертям! От закона, от своих врагов
Я в лес ушел.
И с одной бандой лесной интересы общие нашел,
Нашел!

Припев:

Мы четко знаем работу свою,
Эй, богатый скупец, берегись!
Не сохранить тебе шкуру твою,
Только нам ты в лесу попадись!
Не нужно нам злата и серебра,
Деньги людям мы все отдадим.
Простому народу не сделаем зла -
С миром проходи!

В глуши лесной под сосной с бандой волосатых мужиков
Жил я.
За разбой, грабеж и разбой, все, все, все охотились за мной,
Искали меня.
Каждый бес-головорез за мною рыскал по пятам,
По пятам.
Но имели вес мой нож и обрез и это поняли все те, кто уже там,
Уже там!

(Припев)  "
Мария,"На руках тебя я к машине подношу
И сажаю в кресло рядом с собой.
Ты теперь молчишь, ты мне нравишься такой,
И навеки обрела ты покой.

Припев:

Ты теперь моя,
Навсегда моя!
Ты молчишь,
А я улыбаюсь, Мария!

Помнишь, ты вчера мне сказала, будто я
Ненавистен для тебя стал вдруг?
Помнишь ли тот миг, как в объятиях моих
Ощутила, как расстроен твой друг?

(Припев)

Мчит машина нас прочь от вездесущих глаз
Прочь от всех, кто может нам помешать.
Ты, наверно, щас что-то хочешь мне сказать,
Слов не надо - мы вместе опять!

(Припев)

В дальние края увезу тебя,
Где найдем с тобой наше счастье,
Слышишь, а?
Знай, что смерть твоя -
Это жизнь моя.
Радости моей отдалась ты, Мария!  "
Король и Шут,"Много дней грустил король,
Не знал народ, что за беда!
И кто-то во дворец привёл
Смешного карлика-шута.
Карлик прыгал и кричал,
Народ безумно хохотал,
А шут смешить не прекращал,
На пол вдруг король упал.

Припев:
Хо! Хо! Всё кверх дном!
Хо! Хо! Всё ходуном!
Хохот со всех сторон!
Хохот в весёлом царстве!

Наступила тишина,
Все замерли у тела, рты открыв,
Схватили стражники шута, 
А он - как мяч из рук у них!
По залу бегал гадкий шут,
А следом - весь придворный люд.
Но что за странная напасть - 
Никто не мог шута поймать!

Припев:
Хо! Хо! Всё кверх дном!
Хо! Хо! Всё ходуном!
Хохот со всех сторон!
Хохот в весёлом царстве!

От усталости и смеха
Насчастный люд изнемогал,
Валялись стражники в доспехах,
И каждый страшно хохотал.
Не стало больше короля,
Все, как один, сошли с ума.
Летели месяцы, года 
В весёлом царстве карлика-шута!

Припев:
Хо! Хо! Всё кверх дном!
Хо! Хо! Всё ходуном!
Хохот со всех сторон!
Хохот в весёлом царстве шута!  "
Два друга,"Два друга шли домой 
Дорогой ночной.
Вдруг разбойники из леса 
Вышли целою толпой.
Один парень зарыдал, на колени упал:
""Ох не троньте вы меня 
Все для вас исполню я!""
И сказал атаман, руки сунув в карман:
""Вот нож, вот возьми его,
Коль хочешь жить -
Убей друга своего!""
И вот раздался крик, 
И в грудь вонзился нож.
Атаман в тот же миг 
Тихо произнес: ""Ну что ж,
Взять мерзавца!
Его свяжите!
Киньте в яму вместе с трупом!""
Странным был приказ,
Но все же в тот же час 
Убийцу и мертвеца,
Их усадили там лицом напротив лица.

Два друга шли домой 
Дорогой ночной.
Вдруг разбойники из леса 
Вышли целою толпой.  "
Сапоги,"Пьяный дровосек тащился по лесу,
Встали у него вдруг дыбом волосы. 
Увидел он мертвеца в траве некошеной 
В новых сапогах, почти не ношенных.
""Эх, я возьму их себе.
Как они будут на мне?"" 
И пришёл он радостный домой:
""Поскорей, сестра, мне дверь открой!
Посмотри что на моих ногах,
Посмотри, в каких я сапогах!""
Радуется брат,
Сестра тревожится.
Наступает ночь - она все молится: 
""Не могу уснуть, болит головушка!
Принесет беду твоя обновушка, 
Зря братец снял сапоги 
С мертвой холодной ноги!""
И раздался голос за окном:
""Открывай мужик мне дверь добром!
Я пришел обратно получить
То, что смел ты утром утащить!""
И раздался голос за окном:
""Открывай мужик мне дверь добром!""
А мужик схватился за топор
И проворно выбежал во двор. 
Дровосек избегал все вокруг,
Никого не встретил он и вдруг - 
Вдруг увидел дома на полу 
В сапогах убитую сестру...  "
Охотник,"Темнело за окном, наступала ночь.
За кухонным столом сидели мужики.
Весь вечер беспрерывно бил по крыше дождь,
И гром гремел ужасно где-то у реки.

Вау!

А в доме шло веселье и гульба, 
Ещё никто не знал, что в этот миг
Охотник Себастьен, что спал на чердаке,
Вдруг почернел лицом, стал дряхлый, как старик.

Припев:
Охотник...
Охотник...
Охотник...

Закончилась гроза и дождь прошёл,
На небе появилась полная луна.
И повалил во двор подвыпивший народ,
Смеются мужики, кричат, им не до сна.

Но вдруг из темноты раздался рёв,
Затем с петель слетела в доме дверь.
За шумною толпой
Бежал огромный страшный зверь.

Припев:
Охотник...
Охотник...
Охотник...

С зарёй запели петухи,
И хвойный лес зашелестел.
А в поле у реки
Лежало пять кровавых тел.
Проснувшись дома не полу,
Охотник в зеркало взглянул.
""О, как я сладко спал!"" -
Себе со смехом он сказал.

Припев:
Охотник...
Охотник...
Охотник...
Охотник...
Охотник...
Охотник...  "
Паника в селе,"Паника в селе - дед взбесился.
Вилами колет всех, кого видит.
Шум, гам, лают собаки,
Бегают люди, хлопают ставни,
Бабы визжат.

Припев:
Беда! Паника в селе!
С ума спятил дед!
В одних он трусах! 
И ужас в его глазах! 

Старуху его разыскали,
Она от страха вся побледнела:
""Дед, мол черта увидел,
Тот ему, сволочь,
Мозги запутал - 
Мол, нынче помрешь!""

Припев:
Беда! Паника в селе!
С ума спятил дед!
В одних он трусах! 
И ужас в его глазах! 

Бедного старика черт попутал,
Такого ему наговорил, ага!
Много ли старому дураку надо,
Чтоб рассудок потерять!

К тому же он пьет как бык! 
К тому же он пьет как бык!
К тому же он пьет как бык!
К тому же он пьет как бык!  "
Истинный убийца,"Его вели на эшафот,
Он, что есть мочи, заорал:
""Да помогите мне, народ!
Ведь я, клянусь, не убивал!""

Припев:
""Эй, вы! Я же хотел добра!
Эй, вы! За что меня?
Стойте! Может, не надо, а?
Стойте! Невинен я!""

Палач затачивал топор,
Несчастный с горя зарыдал:
""За что же ты меня, за что?
Ведь я, клянусь, не убивал!""

Припев:
""Эй, вы! Я же хотел добра!
Эй, вы! За что меня?
Стойте! Может, не надо, а?
Стойте! Невинен я!""

И отвечал ему палач:
""Мне честно, парень, жаль тебя.
Я знаю - ты не убивал,
Убийца потому что я!""

Припев:
""Эй, вы! Я же хотел добра!
Эй, вы! За что меня?
Стойте! Может, не надо, а?
Стойте! Невинен я!""  "
Лесник,"Замученный дорогой,
Я выбился из сил.
И в доме лесника я
Ночлега попросил.
С улыбкой добродушной 
Старик меня пустил.
И жестом дружелюбным 
На ужин пригласил.

Припев:
Будь как дома путник,
Я ни в чём не откажу,
Я ни в чём не откажу,
Я ни в чём не откажу! 
Множество историй,
Коль желаешь расскажу,
Коль желаешь расскажу,
Коль желаешь расскажу!

На улице темнело,
Сидел я за столом. 
Лесник сидел напротив,
Болтал о том о сем.
Что нет среди животных 
У старика врагов,
Что нравится ему 
Подкармливать волков.

Припев:
Будь как дома путник,
Я ни в чём не откажу,
Я ни в чём не откажу,
Я ни в чём не откажу! 
Множество историй,
Коль желаешь расскажу,
Коль желаешь расскажу,
Коль желаешь расскажу!

И волки среди ночи 
Завыли под окном.
Старик заулыбался 
И вдруг покинул дом.
Но вскоре возвратился 
С ружьем на перевес:
""Друзья хотят покушать,
Пойдем приятель в лес!""

Припев:
Будь как дома путник,
Я ни в чём не откажу,
Я ни в чём не откажу,
Я ни в чём не откажу! 
Множество историй,
Коль желаешь расскажу,
Коль желаешь расскажу,
Коль желаешь расскажу!  "
Помоги мне!,"Возвращаясь домой, парень шёл по тропе.
Над долиной болот зависала луна.
И услышал он вдруг чей-то крик вдалеке, 
И пошёл посмотреть, с кем случилась беда.
И по мягкой земле он аккуратно ступал,
Его коварная топь в себя пыталась втянуть. 
Недалеко от себя он старика увидал, 
Который крикнул ему: ""Сынок не дай утонуть!"" 

Припев:
Помоги мне, парень, выбраться!
Помоги мне, парень, выбраться!
Бедняга рыдал, умолял. 
Помоги мне, парень, выбраться!
Помоги мне, парень, выбраться!
Но парень с улыбкой стоял...

И на корточки сев, с усмешкой парень сказал:
""Не буду я тебе, дед, в твоей беде помогать,
Как человек умирает, я вовек не видал, 
И вот вживую хочу я это щас увидать!""

Припев:
Помоги мне, парень, выбраться!
Помоги мне, парень, выбраться!
Бедняга рыдал, умолял. 
Помоги мне, парень, выбраться!
Помоги мне, парень, выбраться!
Но парень с улыбкой стоял...  "
Воспоминания о Мёртовой Женщине,"Порою возвращает меня память
В тот страшный летний день,
Когда, бредя вдоль речки безымянной,
Наткнулся я на труп несчастной женщины.
Она лежала, запрокинув свою голову,
На шее рану я увидел безобразную.
Откуда здесь она, босая, полуголая,
Какой-то грязью непонятной вся измазана.
Но что за взгляд недобрый, что за ненависть,
С какой покойница смотрела на меня.
Воскликнул я, значенья слов своих не ведая:
""Не смей смотреть, меня во всём виня!""
Не понимал своё я состояние,
Ужасный взгляд затмил моё сознание,
И побежал я прочь от места этого.
Свели с ума проклятые глаза её...

Бежал, пока совсем не обессилел я,
Но, обернувшись, я увидел эту женщину.
Не может быть! Какой ужасной силою
Был этот труп вдруг приведён в движение?
И тело мёртвое столкнул я в речку быструю,
И понеслось оно, потоку подчиняемо.
А я опять бежать, что было сил моих.
И падал на пути, кричал отчаянно...
А нынче глянул я в окно, со сна опухший -
А под окном - размокший труп несчастной женщины!
Протёр глаза - и тень не растворилась!
Избавь, Господь, меня от тех воспоминаний!

Хлещет дождь который час,
Бьёт вода по крыше.
На столе горит свеча,
Пламя тихо дышит.

Будто вечен    этот вечер...

И никак душе моей
Не найти покоя.
Слышу шорох у дверей,
Что же там такое?

Будто вечен этот вечер...

Слышишь, стерва, голос мой?
Ты ведь где-то рядом!
Не стучись ко мне домой,
Мне тебя не надо!

Будто вечен этот вечер!  "
Кукольный Театр,"В кукольный театр 
Всех карлик приглашал:
""Кто вечером придет,
Тот со смеху умрет!
Будет вам очень, очень хорошо,
Деньги не жалей, богатей!
Вечер смеха и страстей!""

Выбежал на сцену плюшевый пингвин,
И тонким голоском он громко завопил:
""Гады все, кто здесь сейчас сидит!
На всех я вас зачем-то 
Просто так сердит!""

Припев:
В театре такое впервые,
В театре такое сегодня впервые!
Все куклы сегодня живые,
Все куклы сегодня, сегодня живые!

Волк на сцену вышел, песенку запел
Про то, как он недавно пол-деревни съел.
А следом вышла девушка в одних трусах... 
И на части разорвалась у всех на глазах. 

Припев:
В театре такое впервые,
В театре такое сегодня впервые!
Все куклы сегодня живые,
Все куклы сегодня, сегодня живые!

А вот на сцену выбежал крутой ковбой -
Пол-зала расстрелял, потом покончил с собой.
Ужасный заяц громко прокричал: ""Пожар!""
И, бросив факел в зал, со сцены убежал.

Припев:
В театре такое впервые,
В театре такое сегодня впервые!
Все куклы сегодня живые,
Все куклы сегодня, сегодня живые!  "
Валет и Дама,"Шёл с улыбкой здоровяк по ночному парку.
И у тихого пруда повстречал гадалку.
Обратился парень к ней: ""Вот что знать хочу я -
Сколько мне осталось дней? Как, скажи, умру я?""

Припев:
И упали карты на снег, и старуха парню сказала
Сквозь хриплый смех:
""Весь в крови несчастный Валет, а над ним ужасная Дама
С ножом в руке!""

И воскликнул здоровяк, руки потирая:
""Что ты хочешь мне сказать, я не понимаю.""
И блеснул во мраке нож, и раздался хохот:
""Прямо щас и прямо здесь будет тебе плохо!""

Припев:
И упали карты на снег, и старуха парню сказала
Сквозь хриплый смех:
""Весь в крови несчастный Валет, а над ним ужасная Дама
С ножом в руке!""

На тело ведьма покосилась,
И в неизвестном направленьи 
Скрылась!  "
Весёлые Тролли,"Вокруг холмы, леса, овраги и луга,
И вдоль дороги рыжие стоят стога...
И ярко светит солнце голубом,
Ему навстречу весело мы все идём.

Мы добряки, мы тролли, веселим людей.
У нас в запасе множество смешных идей,
Как хорошо, что все мы здесь сейчас живём,
Давайте песню нашу хором пропоём!

Издалека идём, встречайте нас, народ!
Смотрите, пляшем мы у городских ворот.
Отворяйте нам!
Откройте настежь окна, распахните двери,
Мы сейчас для вас устроим представленье.
Праздник подарим вам!

Вылазьте все, кто добрый, или кто злодей!
Мы посмеёмся, вместе будет веселей!
Всем будет веселей!
Мы в каждый дом, тра-ля-ля, шлём большой привет!
Научим вас, как жить, не зная зла и бед!
Жить без зла и бед!

Смотрите!
Смотрите!
Смотрите!
Смотрите!

Открывайте окна, распахните двери!
Мы сейчас устроим для вас представленье!
Смотрите!

Но, лишь на башне полночь прогремят часы,
Из добрых троллей в тени обратимся мы.
С людьми не будем больше петь и танцевать,
Совсем другую службу будем выполнять.

Кто не пришёл на праздник, кто не понял нас,
Кто в сундуке в подвале свой стерёг алмаз,
И в чьих сердцах при  виде нас рождалась злость,
Те навсегда исчезнут, сгинут в эту ночь!
Прочь!
Сгинут прочь!  "
